text,label,source,url
The unseeded player shocked the tennis world by defeating the top seed in straight sets. Her aggressive return game and powerful groundstrokes overwhelmed the favorite. This breakthrough performance launches her into the top twenty rankings.,sports,extended_synthetic,
The senate committee held hearings on climate change legislation. Scientists and industry representatives testified about environmental impacts. A vote is scheduled for next month.,politics,synthetic,
The environmental agency proposed stricter standards for air quality. Scientific evidence links pollution to respiratory illness. Industry representatives requested extended compliance timelines.,politics,extended_synthetic,
The tennis champion won the grand slam tournament in straight sets. Her powerful serve and aggressive baseline play dominated the match. This victory marks her third major title this year.,sports,synthetic,
The foreign minister addressed concerns about humanitarian aid delivery to crisis zones. International cooperation is essential to reaching affected populations. Several nations pledged additional resources and logistical support.,politics,extended_synthetic,
Voter registration drives increased participation among young citizens and minorities. Advocacy organizations credited grassroots mobilization efforts. Election officials prepared for record turnout at polling stations.,politics,extended_synthetic,
The doubles pair combined for 15 aces and won 90% of points on first serve. Their chemistry and communication on court proved too strong for opponents. They claimed their third grand slam title together.,sports,extended_synthetic,
The constitutional court ruled on a controversial civil rights case. The decision was hailed as a landmark victory for equality. Legal experts analyzed its broader implications.,politics,synthetic,
"Part of the Commission with mixed support Mixed external support Opposition 189 The European Parliament EP is one of the two legislative bodies of the European Union EU and one of its seven institutions. Together with the Council of the European Union known as the Council and informally as the Council of Ministers, it adopts European legislation, following a proposal by the European Commission. The Parliament is composed of 720 members MEPs, after the June 2024 European elections, from a previous 705 MEPs. It represents the second-largest democratic electorate in the world after the Parliament of India, with an electorate of around 375 million eligible voters in 2024.456 Since 1979, the Parliament has been directly elected every five years by the citizens of the European Union through universal suffrage. Voter turnout in parliamentary elections decreased each time after 1979 until 2019, when voter turnout increased by eight percentage points, and rose above 50 for the first time since 1994.7 The voting age is 18 in all EU member states except for Malta, Belgium, Austria and Germany, where it is 16, and Greece, where it is 17.8 The European Parliament has legislative power in that the adoption of EU legislation normally requires its approval, and that of the Council, in what amounts to a bicameral legislature. However, it does not formally possess the right of initiative i.e. the right to formally initiate the legislative procedure in the way that most national parliaments of the member states do, as the right of initiative is a prerogative of the European Commission.910 Nonetheless, the Parliament and the Council each have the right to request the Commission to initiate the legislative procedure and put forward a proposal.11 The Parliament is, in protocol terms, the first institution of the European Union mentioned first in its treaties and having ceremonial precedence over the other EU institutions,12 and shares equal legislative and budgetary powers with the Council except on a few issues where special legislative procedures apply. It likewise has equal control over the EU budget. Ultimately, the European Commission, which serves as the executive branch of the EU, is accountable to Parliament. In particular, Parliament can decide whether or not to approve the European Councils nominee for President of the Commission, and is further tasked with approving or rejecting the appointment of the Commission as a whole. It can subsequently force the current Commission to resign by adopting a motion of censure.9 The president of the European Parliament is the bodys speaker and presides over the multi-party chamber. The five largest political groups are the European Peoples Party Group EPP, the Progressive Alliance of Socialists and Democrats SD, Patriots for Europe PfE, the European Conservatives and Reformists Group ECR, and Renew Europe Renew. The last EU-wide election was held in 2024. The Parliaments headquarters are officially in Strasbourg, France,13 and has its administrative offices in Luxembourg City. Plenary sessions are normally held in Strasbourg for four days a month, but sometimes there are additional sessions in Brussels,14 while the Parliaments committee meetings are held primarily in Brussels, Belgium.1415 In practice, the Parliament works three weeks per month in Brussels and one week four days in Strasbourg.",politics,wikipedia,https://en.wikipedia.org/wiki/European_Parliament
"The 2024 Summer Olympics French Les Jeux Olympiques dété de 2024, officially the Games of the XXXIII Olympiad French Jeux de la XXXIIIe olympiade de lère moderne and branded as Paris 2024, were an international multi-sport event held in France from 26 July to 11 August 2024, with several events starting from 24 July. Paris was the host city, with events mainly football held in 16 additional cities in metropolitan France, including the sailing centre in the second-largest city of France, Marseille, on the Mediterranean Sea, as well as one subsite for surfing in Tahiti, French Polynesia.4 Paris was awarded the Games at the 131st IOC Session in Lima, Peru, on 13 September 2017. After multiple withdrawals that left only Paris and Los Angeles in contention, the International Olympic Committee IOC approved a process to concurrently award the 2024 and 2028 Summer Olympics to the two remaining candidate cities. Having previously hosted in 1900 and 1924, Paris became the second city ever to host the Summer Olympics three times, after London 1908, 1948, and 2012.56 Paris 2024 marked the centennial of the 1924 Summer Games and the 1924 Winter Olympics in Chamonix the first Winter Olympics, as well as the sixth Olympic Games hosted by France three Summer Olympics and three Winter Olympics. The Summer Games returned to the traditional four-year Olympiad cycle, after the 2020 edition was postponed to 2021 due to the COVID-19 pandemic. Paris 2024 featured the debut of breaking as an Olympic sport,7 and was the final Olympic Games held during the IOC presidency of Thomas Bach.8 The 2024 Games were expected to cost 9 billion.91011 The opening ceremony was held outside of a stadium for the first time in modern Olympic history, being outdoors in the Pariss downtown and athletes were paraded by boat along the Seine. Paris 2024 was the first Olympics in history to reach full gender parity on the field of play, with equal numbers of male and female athletes.12 The United States topped the medal table for the fourth consecutive Summer Games and 19th time overall, with 40 gold and 126 total medals.13 China tied with the United States on gold 40, but finished second due to having fewer silvers the nation won 91 medals overall. This was the first time a gold medal tie had occurred between the two most successful nations in Summer Olympic history.14 Japan finished third with 20 gold and 45 total medals, and sixth in the overall medal count. Australia finished fourth with 18 gold and 53 total medals, marking the nations most successful Summer Olympics of all time, and fifth in the overall medal count. The host nation, France, finished fifth with 16 gold and 64 total medals, marking their first top-five finish since the 1996 Summer Olympics, and fourth in the overall medal count. Dominica, Saint Lucia, Cape Verde and Albania won their first-ever Olympic medals, the former two both being gold, with Botswana and Guatemala also winning their first-ever gold medals. The Refugee Olympic Team also won their first-ever medal, Cindy Ngamba, a refugee from Cameroon, winning a bronze in boxing. Despite some controversies throughout relating to politics, logistics and conditions in the Olympic Village, the games were considered a success by the press, Parisians and observers upon its conclusion.a The Paris Olympics broke all-time records for ticket sales, with more than 9.5 million tickets sold 12.1 million including the Paralympic Games.15 Having previously hosted the 1900 and 1924 Games, Paris did not attempt to host the Olympics again until it bid, unsuccessfully, for the 1992 Games which were awarded to Barcelona. Subsequent bids for the 2008 and 2012 Games were also unsuccessful, as they were awarded to Beijing and London, respectively. Undeterred, Paris decided to bid once more for the 2024 edition, which would mark the centenary of its last Games. The six candidate cities were Paris, Hamburg, Boston, Budapest, Rome, and Los Angeles. The bidding process was slowed by withdrawals, political uncertainty, and rising costs. Boston surpassed Los Angeles, San Francisco, and Washington, D.C., for the official U.S. bid. On 27 July 2015, Boston and the USOC mutually agreed to terminate Bostons bid to host the Games, partly because of mixed feelings among city residents. Hamburg withdrew its bid on 29 November 2015 after holding a referendum.16 Rome withdrew on 21 September 2016, citing fiscal difficulties.17 Budapest withdrew on 22 February 2017, after a petition against the bid collected more signatures than necessary for a referendum.181920 Following these withdrawals, the IOC Executive Board met on 9 June 2017 in Lausanne, Switzerland, to discuss the 2024 and 2028 bid processes.2122 The International Olympic Committee formally proposed electing the 2024 and 2028 Olympic host cities at the same time, a proposal which an Extraordinary IOC Session approved on 11 July 2017 in Lausanne.22 The IOC set up a process whereby the LA 2024 and Paris 2024 bid committees met with the IOC to discuss which city would host the Games in 2024 and 2028 and whether it was possible to select the host cities for both at the same time.23 Following the decision to award the two Games simultaneously, Paris was understood to be the preferred host for 2024. On 31 July 2017, the IOC announced Los Angeles as the sole candidate for 2028,2425 enabling Paris to be confirmed as host for 2024. The two bids were praised for their high technical plans and innovative ways to use a record-breaking number of existing and temporary facilities. Both decisions were ratified at the 131st IOC Session on 13 September 2017.26",sports,wikipedia,https://en.wikipedia.org/wiki/2024_Summer_Olympics
The cycling team won the stage with a perfectly timed sprint finish. The lead-out train worked flawlessly in the final kilometer. The victory extends their lead in the team classification.,sports,synthetic,
The volleyball team's blocking and serving disrupted the opponent's offensive rhythm. The middle blocker recorded eight blocks and three aces. Their championship experience showed in the final set.,sports,extended_synthetic,
The international treaty on nuclear disarmament was ratified by member nations. The accord sets timelines for reducing weapons stockpiles. Peace organizations celebrated the achievement.,politics,synthetic,
The Formula One driver claimed pole position with a stunning qualifying lap. His car showed exceptional speed through the technical sections. Tomorrow's race promises to be exciting.,sports,synthetic,
The governor signed an executive order addressing housing affordability. The policy includes incentives for developers and rent control measures. Housing advocates called it a positive step.,politics,synthetic,
